Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
SUBCOMPACT,3.0,6,AS8,Z,11.2,7.8,9.7,29,227
SUBCOMPACT,3.0,6,M6,Z,12.8,8.8,11.0,26,256
SUBCOMPACT,3.0,6,AS8,Z,11.2,7.8,9.7,29,227
SUBCOMPACT,3.0,6,M6,Z,12.8,8.8,11.0,26,256
SUBCOMPACT,3.0,6,AS8,Z,11.3,8.0,9.8,29,229
SUBCOMPACT,3.0,6,AS8,Z,11.3,8.0,9.8,29,229
SUBCOMPACT,3.0,6,AS8,Z,11.3,8.0,9.8,29,229
SUBCOMPACT,3.0,6,AM7,Z,14.5,10.5,12.7,22,299
SUBCOMPACT,3.0,6,M6,Z,13.8,9.4,11.9,24,280
SUBCOMPACT,3.0,6,AM7,Z,14.5,10.5,12.7,22,299
SUBCOMPACT,3.0,6,M6,Z,13.8,9.4,11.9,24,280
COMPACT,3.0,6,AM7,Z,14.3,10.4,12.6,22,294
COMPACT,3.0,6,M6,Z,13.4,9.6,11.7,24,273
COMPACT,3.0,6,AM7,Z,14.3,10.4,12.6,22,294
COMPACT,3.0,6,M6,Z,13.4,9.6,11.7,24,273
COMPACT,3.0,6,AM7,Z,14.3,10.4,12.6,22,294
MID-SIZE,4.4,8,AS8,Z,16.0,11.2,13.9,20,324
MID-SIZE,4.4,8,AS8,Z,16.0,11.2,13.9,20,324
MID-SIZE,4.4,8,AS8,Z,13.3,9.2,11.5,25,269
COMPACT,4.4,8,AM7,Z,17.3,11.6,14.7,19,344
FULL-SIZE,6.6,12,AS8,Z,17.7,11.9,15.1,19,355
SUBCOMPACT,4.4,8,AS8,Z,13.5,9.2,11.6,24,270
SUBCOMPACT,4.4,8,AS8,Z,13.3,9.2,11.5,25,269
SUV - SMALL,2.0,4,AS8,Z,10.7,7.5,9.3,30,217
SUV - SMALL,2.0,4,AS8,Z,11.0,7.7,9.5,30,222
SUV - SMALL,2.0,4,AS8,Z,10.8,8.0,9.6,29,223
SUV - SMALL,3.0,6,AS8,Z,11.9,8.7,10.4,27,245
SUV - SMALL,2.0,4,AS8,Z,10.8,8.0,9.6,29,223
SUV - SMALL,3.0,6,AS8,Z,11.9,8.7,10.4,27,245
SUV - STANDARD,3.0,6,AS8,Z,11.7,9.1,10.5,27,245
SUV - STANDARD,4.4,8,AS8,Z,15.3,11.1,13.4,21,314
SUV - STANDARD,3.0,6,AS8,Z,13.0,9.9,11.6,24,272
SUV - STANDARD,4.4,8,AS8,Z,14.3,10.6,12.6,22,294
SUV - STANDARD,4.4,8,AS8,Z,16.6,12.1,14.6,19,341
SUV - STANDARD,3.0,6,AS8,Z,12.0,9.4,10.8,26,254
SUV - STANDARD,4.4,8,AS8,Z,14.3,10.6,12.6,22,294
TWO-SEATER,8.0,16,AM7,Z,26.8,16.6,22.2,13,522
SUV - STANDARD,3.6,6,A9,X,13.0,9.1,11.2,25,263
SUV - STANDARD,3.6,6,A9,X,13.8,9.5,11.9,24,278
SUV - SMALL,1.4,4,AS6,X,9.4,7.8,8.7,32,204
SUV - SMALL,1.4,4,AS6,X,8.9,7.5,8.3,34,194
SUV - SMALL,1.4,4,AS6,X,9.9,8.1,9.1,31,214
SUV - SMALL,1.4,4,AS6,X,9.4,7.9,8.8,32,205
SUV - SMALL,2.0,4,A9,Z,11.7,9.4,10.7,26,249
SUV - SMALL,2.5,4,A6,X,11.1,8.6,10.0,28,234
MID-SIZE,3.6,6,AS9,X,11.7,7.8,9.9,29,233
MID-SIZE,2.5,4,AS6,X,9.4,6.8,8.2,34,192
MID-SIZE,3.6,6,AS9,X,11.7,8.2,10.1,28,238
MID-SIZE,2.0,4,AS9,Z,10.6,7.4,9.1,31,214
MID-SIZE,2.0,4,AS8,Z,11.0,8.0,9.6,29,227
MID-SIZE,3.6,6,AS9,X,12.4,8.7,10.7,26,251
FULL-SIZE,3.0,6,AS10,Z,13.1,9.1,11.3,25,267
FULL-SIZE,3.6,6,AS10,X,13.0,8.8,11.1,25,261
FULL-SIZE,4.2,8,AS10,Z,17.3,9.5,13.8,20,324
MID-SIZE,2.0,4,AS8,Z,11.0,7.8,9.5,30,222
MID-SIZE,3.6,6,AS8,X,12.3,8.2,10.5,27,246
MID-SIZE,2.0,4,AS8,Z,11.4,8.1,9.9,29,232
MID-SIZE,3.6,6,AS8,X,13.3,9.2,11.5,25,269
MID-SIZE,3.6,6,AS8,Z,15.0,9.9,12.7,22,298
MID-SIZE,6.2,8,AS8,Z,17.1,11.0,14.3,20,337
SUV - STANDARD,6.2,8,A10,Z,16.6,10.9,14.0,20,328
SUV - SMALL,2.0,4,AS9,Z,9.8,7.8,8.9,32,209
SUV - SMALL,2.0,4,AS9,Z,10.9,8.2,9.7,29,227
SUV - SMALL,3.6,6,AS8,X,12.1,8.9,10.6,27,250
SUV - SMALL,3.6,6,AS8,X,12.8,9.3,11.2,25,263
FULL-SIZE,3.6,6,AS6,X,12.9,8.7,11.0,26,259
FULL-SIZE,3.6,6,AS6,X,13.7,9.0,11.6,24,272
FULL-SIZE,3.6,6,AS6,Z,15.0,10.1,12.8,22,302
SUV - SMALL,2.5,4,A9,X,10.8,8.8,9.9,29,232
SUV - SMALL,3.6,6,A9,X,12.0,9.0,10.6,27,250
SUV - SMALL,3.6,6,A9,X,12.7,9.5,11.3,25,265
SUBCOMPACT,2.0,4,AS8,Z,10.8,7.7,9.4,30,220
SUBCOMPACT,2.0,4,M6,Z,11.9,7.9,10.1,28,235
SUBCOMPACT,3.6,6,AS8,X,12.3,8.2,10.4,27,246
SUBCOMPACT,3.6,6,M6,X,14.3,8.8,11.8,24,277
SUBCOMPACT,6.2,8,AS10,Z,14.5,8.8,12.0,24,279
SUBCOMPACT,6.2,8,M6,Z,14.9,9.9,12.6,22,297
SUBCOMPACT,6.2,8,AS10,Z,18.3,11.2,15.1,19,355
SUBCOMPACT,6.2,8,M6,Z,17.2,12.0,14.9,19,349
PICKUP TRUCK - SMALL,2.5,4,A6,X,12.1,9.2,10.8,26,253
PICKUP TRUCK - SMALL,2.5,4,M6,X,11.9,9.2,10.7,26,251
PICKUP TRUCK - SMALL,2.8,4,A6,D,11.8,7.9,10.1,28,270
PICKUP TRUCK - SMALL,3.6,6,A8,X,13.4,9.6,11.7,24,274
PICKUP TRUCK - SMALL,2.5,4,A6,X,12.7,9.8,11.4,25,267
PICKUP TRUCK - SMALL,2.8,4,A6,D,12.2,8.4,10.5,27,283
PICKUP TRUCK - SMALL,3.6,6,A8,X,14.0,9.9,12.2,23,286
PICKUP TRUCK - SMALL,2.8,4,A6,D,13.3,10.6,12.1,23,326
PICKUP TRUCK - SMALL,3.6,6,A8,X,15.0,13.0,14.1,20,331
TWO-SEATER,6.2,8,AS8,Z,15.6,9.2,12.7,22,299
TWO-SEATER,6.2,8,M7,Z,14.6,9.3,12.2,23,286
TWO-SEATER,6.2,8,AS8,Z,17.2,10.1,14.0,20,331
TWO-SEATER,6.2,8,M7,Z,15.9,10.6,13.5,21,318
TWO-SEATER,6.2,8,AS8,Z,19.5,12.0,16.1,18,381
TWO-SEATER,6.2,8,M7,Z,18.2,12.5,15.6,18,368
COMPACT,1.4,4,AS6,X,8.3,6.2,7.3,39,172
COMPACT,1.4,4,AS6,X,8.3,6.2,7.3,39,172
COMPACT,1.6,4,A9,D,7.6,4.9,6.4,44,172
MID-SIZE,1.4,4,AS6,X,8.3,6.2,7.3,39,172
MID-SIZE,1.4,4,AS6,X,8.5,6.4,7.5,38,175
MID-SIZE,1.6,4,A9,D,7.8,5.2,6.6,43,178
SUV - SMALL,1.5,4,A6,X,9.2,7.3,8.3,34,196
SUV - SMALL,1.6,4,A6,D,8.5,6.0,7.4,38,199
SUV - SMALL,1.5,4,A6,X,9.3,7.8,8.6,33,207
SUV - SMALL,1.6,4,A6,D,8.5,6.1,7.4,38,199
SUV - SMALL,2.0,4,A9,Z,10.9,8.3,9.7,29,228
FULL-SIZE,2.5,4,AS6,X,10.8,8.0,9.6,29,225
FULL-SIZE,3.6,6,AS6,X,12.7,8.5,10.8,26,254
FULL-SIZE,3.6,6,AS6,E,17.2,11.6,14.6,19,245
MID-SIZE,1.5,4,AV,X,8.2,6.6,7.5,38,174
MID-SIZE,2.0,4,A9,Z,10.5,7.4,9.1,31,214
MID-SIZE,1.8,4,AV,X,4.8,5.5,5.1,55,121
PICKUP TRUCK - STANDARD,2.7,4,A8,X,11.9,10.3,11.1,25,261
PICKUP TRUCK - STANDARD,4.3,6,A6,X,15.1,11.5,13.5,21,316
PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.9,11.4,13.9,20,326
PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.7,11.9,14.0,20,329
PICKUP TRUCK - STANDARD,5.3,8,A6,E,21.1,15.0,18.4,15,306
PICKUP TRUCK - STANDARD,5.3,8,A8,X,14.1,10.2,12.4,23,290
PICKUP TRUCK - STANDARD,2.7,4,A8,X,12.5,10.8,11.7,24,275
PICKUP TRUCK - STANDARD,4.3,6,A6,X,15.8,11.9,14.0,20,329
PICKUP TRUCK - STANDARD,4.3,6,A6,X,16.3,12.9,14.8,19,347
PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.9,11.7,14.0,20,329
PICKUP TRUCK - STANDARD,5.3,8,A6,X,16.1,12.5,14.4,20,339
PICKUP TRUCK - STANDARD,5.3,8,A6,E,22.0,16.1,19.3,15,322
PICKUP TRUCK - STANDARD,5.3,8,A6,X,16.5,13.0,14.9,19,350
PICKUP TRUCK - STANDARD,5.3,8,A8,X,14.9,10.8,13.1,22,306
PICKUP TRUCK - STANDARD,5.3,8,A8,X,15.3,11.8,13.7,21,320
PICKUP TRUCK - STANDARD,6.2,8,A10,Z,15.0,12.0,13.7,21,321
PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.6,10.9,13.5,21,317
PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.8,11.4,13.8,20,325
SUBCOMPACT,1.4,4,AV,X,7.9,6.2,7.1,40,167
SUBCOMPACT,1.4,4,M5,X,8.0,6.2,7.2,39,170
SUV - STANDARD,5.3,8,A6,X,15.7,10.5,13.4,21,314
SUV - STANDARD,5.3,8,A6,X,15.7,10.5,13.4,21,314
SUV - STANDARD,5.3,8,A6,E,21.2,13.9,17.9,16,298
SUV - STANDARD,5.3,8,A6,X,16.8,11.3,14.3,20,336
SUV - STANDARD,5.3,8,A6,X,16.8,11.3,14.3,20,336
SUV - STANDARD,5.3,8,A6,E,22.2,15.2,19.0,15,317
SUV - STANDARD,6.2,8,A10,Z,17.1,11.3,14.5,19,340
SUV - STANDARD,5.3,8,A6,X,15.7,10.5,13.4,21,314
SUV - STANDARD,5.3,8,A6,X,15.7,10.5,13.4,21,314
SUV - STANDARD,5.3,8,A6,E,21.2,13.9,17.9,16,298
SUV - STANDARD,5.3,8,A6,X,15.8,11.1,13.7,21,321
SUV - STANDARD,5.3,8,A6,X,15.8,11.1,13.7,21,321
SUV - STANDARD,5.3,8,A6,E,21.7,14.3,18.4,15,305
SUV - STANDARD,6.2,8,A10,Z,16.4,10.7,13.8,20,325
SUV - STANDARD,3.6,6,A9,X,13.0,8.8,11.1,25,261
SUV - STANDARD,3.6,6,A9,X,13.7,9.5,11.8,24,277
SUV - SMALL,1.4,4,AS6,X,9.1,7.6,8.4,34,196
SUV - SMALL,1.4,4,M6,X,9.4,6.9,8.3,34,194
SUV - SMALL,1.4,4,AS6,X,9.9,8.1,9.1,31,214
FULL-SIZE,3.6,6,A8,X,12.4,7.8,10.3,27,242
FULL-SIZE,3.6,6,A8,X,12.4,7.8,10.3,27,242
FULL-SIZE,3.6,6,A8,E,17.1,10.6,14.2,20,234
FULL-SIZE,5.7,8,A8,X,14.7,9.4,12.3,23,289
FULL-SIZE,3.6,6,A8,X,12.8,8.7,11.0,26,258
FULL-SIZE,3.6,6,A8,X,12.8,8.7,11.0,26,258
FULL-SIZE,3.6,6,A8,E,17.6,12.0,15.0,19,248
MINIVAN,3.6,6,A9,X,12.9,8.4,10.9,26,259
MINIVAN,3.6,6,A9,X,12.4,8.4,10.6,27,249
MID-SIZE,3.6,6,A8,X,12.4,7.8,10.3,27,242
MID-SIZE,5.7,8,M6,Z,15.6,10.1,13.1,22,307
MID-SIZE,6.4,8,M6,Z,16.7,10.4,13.9,20,325
MID-SIZE,5.7,8,A8,X,14.7,9.4,12.3,23,289
MID-SIZE,6.4,8,A8,Z,15.8,9.6,13.0,22,304
MID-SIZE,3.6,6,A8,X,12.8,8.7,11.0,26,258
MID-SIZE,6.2,8,A8,Z,17.6,10.7,14.5,19,339
MID-SIZE,6.2,8,M6,Z,18.1,11.4,15.1,19,352
MID-SIZE,6.2,8,A8,Z,17.6,10.7,14.5,19,339
FULL-SIZE,3.6,6,A5,X,13.7,9.0,11.6,24,271
FULL-SIZE,3.6,6,A5,X,13.7,9.0,11.6,24,271
FULL-SIZE,3.6,6,A5,E,18.9,12.7,16.1,18,268
FULL-SIZE,3.6,6,A8,X,12.4,7.8,10.3,27,242
FULL-SIZE,3.6,6,A8,X,12.4,7.8,10.3,27,242
FULL-SIZE,3.6,6,A8,E,17.1,10.6,14.2,20,234
FULL-SIZE,5.7,8,A5,X,15.6,9.7,12.9,22,302
FULL-SIZE,5.7,8,A8,X,14.7,9.4,12.3,23,289
FULL-SIZE,6.4,8,A8,Z,15.8,9.6,13.0,22,304
FULL-SIZE,3.6,6,A8,X,12.8,8.7,11.0,26,258
FULL-SIZE,3.6,6,A8,X,12.8,8.7,11.0,26,258
FULL-SIZE,3.6,6,A8,E,17.6,12.0,15.0,19,248
FULL-SIZE,5.7,8,A5,X,16.0,10.1,13.3,21,312
FULL-SIZE,6.2,8,A8,Z,17.6,10.7,14.5,19,339
SUV - STANDARD,3.6,6,A8,X,12.7,9.6,11.3,25,265
SUV - STANDARD,5.7,8,A8,X,16.7,10.9,14.1,20,331
SUV - STANDARD,6.4,8,A8,Z,18.3,12.2,15.6,18,363
MINIVAN,3.6,6,A6,X,13.7,9.4,11.8,24,276
MINIVAN,3.6,6,A6,E,19.4,13.3,16.7,17,274
SUV - SMALL,2.4,4,A4,X,12.7,9.2,11.1,25,261
SUV - SMALL,3.6,6,A6,X,14.2,9.5,12.1,23,284
SUV - SMALL,3.6,6,A6,E,19.1,13.2,16.4,17,274
SUV - SMALL,3.6,6,A6,X,14.5,10.0,12.4,23,292
TWO-SEATER,1.4,4,A6,X,9.3,6.5,8.0,35,187
TWO-SEATER,1.4,4,M6,X,9.0,6.7,7.9,36,185
MINICOMPACT,1.4,4,A6,X,9.7,7.4,8.7,32,203
MINICOMPACT,1.4,4,M5,X,8.5,7.1,7.9,36,186
STATION WAGON - SMALL,1.4,4,A6,X,10.7,7.9,9.4,30,221
SUV - SMALL,1.3,4,A9,X,10.0,7.9,9.1,31,213
SUV - SMALL,1.0,3,AS6,X,8.6,8.1,8.4,34,196
SUV - SMALL,2.0,4,AS6,X,10.2,8.0,9.3,30,218
SUV - SMALL,2.0,4,AS8,X,10.9,8.0,9.6,29,224
SUV - SMALL,2.0,4,AS8,X,11.4,8.3,10.0,28,233
SUV - SMALL,2.7,6,AS8,X,12.6,9.2,11.0,26,259
SUV - SMALL,1.5,4,AS6,X,10.2,7.8,9.1,31,214
SUV - SMALL,2.5,4,AS6,X,11.0,8.0,9.6,29,226
SUV - SMALL,2.5,4,AS6,E,15.0,10.8,13.1,22,218
SUV - SMALL,1.5,4,AS6,X,11.2,8.4,9.9,29,232
SUV - SMALL,2.0,4,AS6,X,11.5,8.7,10.2,28,239
SUV - STANDARD,3.5,6,AS10,X,14.1,10.6,12.5,23,293
SUV - STANDARD,3.5,6,AS10,X,14.7,11.2,13.1,22,307
SUV - STANDARD,2.3,4,AS6,X,13.1,9.2,11.4,25,267
SUV - STANDARD,3.5,6,AS6,X,15.2,10.9,13.2,21,311
SUV - STANDARD,3.5,6,AS6,X,14.5,10.6,12.7,22,299
SUV - STANDARD,3.5,6,AS6,E,19.8,14.3,17.3,16,288
PICKUP TRUCK - STANDARD,2.7,6,AS10,X,12.0,9.0,10.6,27,249
PICKUP TRUCK - STANDARD,2.7,6,AS10,X,12.4,9.4,11.1,25,260
PICKUP TRUCK - STANDARD,2.7,6,AS10,X,12.4,9.4,11.1,25,260
PICKUP TRUCK - STANDARD,3.0,6,AS10,D,10.8,8.0,9.5,30,256
PICKUP TRUCK - STANDARD,3.0,6,AS10,D,10.8,8.4,9.7,29,260
PICKUP TRUCK - STANDARD,3.3,6,AS6,X,12.2,9.3,10.9,26,256
PICKUP TRUCK - STANDARD,3.3,6,AS6,E,16.7,12.6,14.9,19,247
PICKUP TRUCK - STANDARD,3.3,6,AS6,X,12.4,9.8,11.2,25,263
PICKUP TRUCK - STANDARD,3.3,6,AS6,E,16.7,12.6,14.9,19,247
PICKUP TRUCK - STANDARD,3.5,6,AS10,X,13.5,10.1,12.0,24,281
PICKUP TRUCK - STANDARD,3.5,6,AS10,X,13.8,10.7,12.4,23,291
PICKUP TRUCK - STANDARD,3.5,6,AS10,X,13.9,11.2,12.7,22,298
PICKUP TRUCK - STANDARD,5.0,8,AS10,X,13.9,10.2,12.2,23,287
PICKUP TRUCK - STANDARD,5.0,8,AS10,E,20.3,14.0,17.4,16,290
PICKUP TRUCK - STANDARD,5.0,8,AS10,X,14.7,11.2,13.1,22,308
PICKUP TRUCK - STANDARD,5.0,8,AS10,E,20.3,14.0,17.5,16,290
PICKUP TRUCK - STANDARD,5.0,8,AS10,X,15.6,11.8,13.9,20,326
PICKUP TRUCK - STANDARD,5.0,8,AS10,E,20.4,14.0,17.5,16,291
PICKUP TRUCK - STANDARD,2.7,6,AS10,X,12.7,9.8,11.4,25,268
PICKUP TRUCK - STANDARD,2.7,6,AS10,X,13.1,10.2,11.8,24,277
PICKUP TRUCK - STANDARD,2.7,6,AS10,X,13.1,10.2,11.8,24,277
PICKUP TRUCK - STANDARD,3.0,6,AS10,D,11.8,9.3,10.7,26,287
PICKUP TRUCK - STANDARD,3.0,6,AS10,D,11.8,9.3,10.7,26,287
PICKUP TRUCK - STANDARD,3.0,6,AS10,D,11.2,8.3,9.9,29,266
PICKUP TRUCK - STANDARD,3.3,6,AS6,X,12.8,10.2,11.6,24,273
PICKUP TRUCK - STANDARD,3.3,6,AS6,E,17.5,13.8,15.8,18,263
PICKUP TRUCK - STANDARD,3.3,6,AS6,X,13.8,10.7,12.4,23,291
PICKUP TRUCK - STANDARD,3.3,6,AS6,E,17.5,13.7,15.8,18,263
PICKUP TRUCK - STANDARD,3.5,6,AS10,X,14.3,10.5,12.5,23,295
PICKUP TRUCK - STANDARD,3.5,6,AS10,X,14.7,10.7,12.9,22,303
PICKUP TRUCK - STANDARD,3.5,6,AS10,X,14.7,11.2,13.1,22,308
PICKUP TRUCK - STANDARD,3.5,6,AS10,X,13.8,11.2,12.6,22,296
PICKUP TRUCK - STANDARD,5.0,8,AS10,X,15.1,11.0,13.3,21,312
PICKUP TRUCK - STANDARD,5.0,8,AS10,E,20.0,15.6,18.0,16,300
PICKUP TRUCK - STANDARD,5.0,8,AS10,X,15.7,11.8,13.9,20,326
PICKUP TRUCK - STANDARD,5.0,8,AS10,E,20.0,15.6,18.0,16,300
PICKUP TRUCK - STANDARD,5.0,8,AS10,X,16.8,12.4,14.8,19,347
PICKUP TRUCK - STANDARD,5.0,8,AS10,E,21.3,17.2,19.5,14,323
PICKUP TRUCK - STANDARD,3.5,6,AS10,X,15.3,13.1,14.3,20,336
SUV - STANDARD,3.5,6,AS6,X,14.7,10.2,12.7,22,298
SUV - STANDARD,3.5,6,AS6,X,14.7,10.7,12.9,22,303
SUV - STANDARD,3.5,6,AS6,X,15.7,11.2,13.7,21,322
SUBCOMPACT,1.6,4,AM6,X,8.6,6.4,7.6,37,178
SUBCOMPACT,1.6,4,M5,X,8.8,6.8,7.9,36,184
SUBCOMPACT,1.6,4,M6,X,9.2,7.4,8.4,34,196
MID-SIZE,1.5,4,AS6,X,10.0,7.0,8.7,32,204
MID-SIZE,2.0,4,AV,X,5.5,5.6,5.6,50,131
TWO-SEATER,3.5,6,AM7,Z,20.4,13.1,17.1,17,402
SUBCOMPACT,2.3,4,AS10,X,11.2,7.3,9.4,30,221
SUBCOMPACT,2.3,4,AS10,X,11.8,8.4,10.3,27,242
SUBCOMPACT,2.3,4,M6,X,11.2,7.9,9.7,29,227
SUBCOMPACT,2.3,4,M6,X,11.8,8.7,10.4,27,244
SUBCOMPACT,5.0,8,AS10,X,15.0,9.1,12.3,23,289
SUBCOMPACT,5.0,8,M6,X,16.1,9.9,13.3,21,311
SUBCOMPACT,5.0,8,M6,X,16.1,9.9,13.3,21,311
SUBCOMPACT,2.3,4,AS10,X,11.9,8.4,10.4,27,243
SUBCOMPACT,2.3,4,M6,X,11.8,8.4,10.3,27,241
SUBCOMPACT,5.0,8,AS10,X,15.4,9.7,12.9,22,302
PICKUP TRUCK - STANDARD,2.3,4,AS10,X,11.8,9.8,10.9,26,256
SUBCOMPACT,5.2,8,M6,Z,17.2,11.3,14.6,19,341
VAN - PASSENGER,3.5,6,AS6,X,16.2,12.8,14.7,19,346
VAN - PASSENGER,3.7,6,AS6,X,16.9,13.1,15.2,19,355
FULL-SIZE,3.5,6,AS6,X,13.5,9.0,11.5,25,270
FULL-SIZE,3.5,6,AS6,E,17.8,12.1,15.2,19,254
FULL-SIZE,3.5,6,AS6,X,14.6,10.0,12.5,23,294
FULL-SIZE,3.5,6,AS6,X,14.0,9.9,12.4,23,291
FULL-SIZE,3.5,6,AS6,E,18.5,13.0,16.0,18,267
SPECIAL PURPOSE VEHICLE,2.0,4,AS8,X,9.8,8.8,9.3,30,219
SPECIAL PURPOSE VEHICLE,2.0,4,AS8,X,9.8,8.8,9.3,30,219
SPECIAL PURPOSE VEHICLE,2.0,4,AS8,E,13.3,11.8,12.6,22,209
SPECIAL PURPOSE VEHICLE,2.5,4,AS6,X,12.0,8.8,10.6,27,247
SPECIAL PURPOSE VEHICLE,2.0,4,AS8,X,9.9,8.2,9.2,31,214
SPECIAL PURPOSE VEHICLE,2.0,4,AS8,X,9.9,8.2,9.2,31,214
SPECIAL PURPOSE VEHICLE,2.0,4,AS8,E,13.7,11.1,12.5,23,208
SPECIAL PURPOSE VEHICLE,2.5,4,AS6,X,12.1,9.0,10.7,26,251
COMPACT,2.0,4,M6,Z,12.8,8.5,10.9,26,255
COMPACT,2.0,4,AS8,Z,11.5,8.7,10.3,27,241
COMPACT,3.3,6,AS8,Z,13.3,9.5,11.6,24,274
FULL-SIZE,3.3,6,AS8,Z,13.8,9.7,11.9,24,282
FULL-SIZE,3.8,6,AS8,X,13.4,9.6,11.7,24,276
FULL-SIZE,5.0,8,AS8,Z,15.6,10.4,13.2,21,312
FULL-SIZE,3.3,6,AS8,Z,13.7,9.7,11.9,24,279
FULL-SIZE,5.0,8,AS8,Z,15.2,10.2,13.0,22,306
SUV - STANDARD,2.5,4,A6,X,11.1,9.2,10.2,28,237
SUV - STANDARD,3.6,6,A6,X,13.1,9.4,11.4,25,268
SUV - STANDARD,2.5,4,A6,X,11.3,9.4,10.5,27,248
SUV - STANDARD,3.6,6,A6,X,13.5,9.5,11.7,24,275
PICKUP TRUCK - SMALL,2.5,4,A6,X,12.1,9.2,10.8,26,253
PICKUP TRUCK - SMALL,2.5,4,M6,X,11.9,9.2,10.7,26,251
PICKUP TRUCK - SMALL,2.8,4,A6,D,11.8,7.9,10.1,28,270
PICKUP TRUCK - SMALL,3.6,6,A8,X,13.4,9.6,11.7,24,274
PICKUP TRUCK - SMALL,2.5,4,A6,X,12.7,9.8,11.4,25,267
PICKUP TRUCK - SMALL,2.8,4,A6,D,12.2,8.4,10.5,27,283
PICKUP TRUCK - SMALL,3.6,6,A8,X,14.0,9.9,12.2,23,286
PICKUP TRUCK - STANDARD,2.7,4,A8,X,11.9,10.3,11.1,25,261
PICKUP TRUCK - STANDARD,4.3,6,A6,X,15.1,11.5,13.5,21,317
PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.9,11.4,13.9,20,326
PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.7,11.9,14.0,20,329
PICKUP TRUCK - STANDARD,5.3,8,A6,E,21.1,15.0,18.4,15,306
PICKUP TRUCK - STANDARD,5.3,8,A8,X,14.3,10.4,12.5,23,294
PICKUP TRUCK - STANDARD,2.7,4,A8,X,12.6,10.9,11.8,24,277
PICKUP TRUCK - STANDARD,4.3,6,A6,X,15.8,11.9,14.0,20,329
PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.9,11.7,14.0,20,330
PICKUP TRUCK - STANDARD,5.3,8,A6,X,16.0,12.5,14.4,20,339
PICKUP TRUCK - STANDARD,5.3,8,A6,E,22.0,16.1,19.4,15,323
PICKUP TRUCK - STANDARD,5.3,8,A8,X,15.3,11.2,13.5,21,316
PICKUP TRUCK - STANDARD,5.3,8,A8,X,15.3,11.8,13.7,21,320
PICKUP TRUCK - STANDARD,6.2,8,A10,Z,15.5,11.9,13.9,20,326
PICKUP TRUCK - STANDARD,6.2,8,A10,Z,15.7,12.4,14.2,20,332
PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.6,10.9,13.5,21,317
PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.8,11.4,13.8,20,325
SUV - SMALL,1.5,4,A9,X,9.2,7.9,8.6,33,201
SUV - SMALL,1.6,4,A6,D,8.5,6.0,7.4,38,199
SUV - SMALL,1.5,4,A9,X,9.6,8.3,9.0,31,210
SUV - SMALL,1.6,4,A6,D,8.5,6.1,7.4,38,199
SUV - SMALL,2.0,4,A9,Z,11.2,9.0,10.2,28,239
SUV - STANDARD,5.3,8,A6,X,15.7,10.5,13.4,21,314
SUV - STANDARD,5.3,8,A6,X,15.7,10.5,13.4,21,314
SUV - STANDARD,5.3,8,A6,E,21.2,13.9,17.9,16,298
SUV - STANDARD,5.3,8,A6,X,15.8,11.1,13.7,21,321
SUV - STANDARD,5.3,8,A6,X,15.8,11.1,13.7,21,321
SUV - STANDARD,5.3,8,A6,E,21.7,14.3,18.4,15,305
SUV - STANDARD,6.2,8,A10,Z,16.4,10.7,13.8,20,325
SUV - STANDARD,5.3,8,A6,X,15.7,10.5,13.4,21,314
SUV - STANDARD,5.3,8,A6,X,15.7,10.5,13.4,21,314
SUV - STANDARD,5.3,8,A6,E,21.2,13.9,17.9,16,298
SUV - STANDARD,5.3,8,A6,X,16.8,11.3,14.3,20,336
SUV - STANDARD,5.3,8,A6,X,16.8,11.3,14.3,20,336
SUV - STANDARD,5.3,8,A6,E,22.2,15.2,19.0,15,317
SUV - STANDARD,6.2,8,A10,Z,17.1,11.3,14.5,19,340
FULL-SIZE,1.5,4,AV,X,7.9,6.3,7.2,39,168
FULL-SIZE,1.5,4,AV7,X,8.2,6.8,7.6,37,177
FULL-SIZE,1.5,4,M6,X,8.9,6.7,7.9,36,185
FULL-SIZE,2.0,4,M6,X,10.7,7.3,9.2,31,214
MID-SIZE,2.0,4,AS10,X,10.4,7.4,9.1,31,211
FULL-SIZE,2.0,4,AV,X,5.0,5.0,5.0,56,117
COMPACT,1.5,4,AV7,X,7.8,6.4,7.2,39,167
COMPACT,2.0,4,AV,X,7.8,6.1,7.1,40,164
COMPACT,2.0,4,AV7,X,8.3,6.6,7.5,38,176
COMPACT,2.0,4,M6,X,9.3,6.7,8.1,35,189
COMPACT,1.5,4,M6,Z,8.4,6.2,7.4,38,173
FULL-SIZE,1.5,4,AV,X,7.7,6.0,6.9,41,162
FULL-SIZE,1.5,4,AV7,X,7.9,6.6,7.3,39,170
